number|top-5|top-10
2464|['ewencp' 'ymatsuda' 'guozhangwang' 'miguno' 'ijuma']|"['ewencp' 'ymatsuda' 'guozhangwang' 'miguno' 'ijuma' 'gwenshap' 'nan'
 'nan' 'nan' 'Ishiihara']"
2466|['ijuma' 'guozhangwang' 'ewencp' 'miguno' 'ymatsuda']|"['ijuma' 'guozhangwang' 'ewencp' 'miguno' 'ymatsuda' 'gwenshap' 'junrao'
 'apovzner' 'hachikuji' 'granthenke']"
2467|['junrao' 'ijuma' 'gwenshap' 'granthenke' 'hachikuji']|"['junrao' 'ijuma' 'gwenshap' 'granthenke' 'hachikuji' 'apovzner' 'dajac'
 'SinghAsDev' 'guozhangwang' 'ewencp']"
2469|['ijuma' 'junrao' 'hachikuji' 'gwenshap' 'guozhangwang']|"['ijuma' 'junrao' 'hachikuji' 'gwenshap' 'guozhangwang' 'apovzner'
 'granthenke' 'ewencp' 'dajac' 'SinghAsDev']"
2471|['ewencp' 'ijuma' 'gwenshap' 'guozhangwang' 'hachikuji']|"['ewencp' 'ijuma' 'gwenshap' 'guozhangwang' 'hachikuji' 'apovzner'
 'junrao' 'miguno' 'ymatsuda' 'granthenke']"
2472|['ijuma' 'junrao' 'gwenshap' 'guozhangwang' 'granthenke']|"['ijuma' 'junrao' 'gwenshap' 'guozhangwang' 'granthenke' 'hachikuji'
 'apovzner' 'ewencp' 'dajac' 'xiaotao183']"
2473|['ewencp' 'ijuma' 'hachikuji' 'granthenke' 'guozhangwang']|"['ewencp' 'ijuma' 'hachikuji' 'granthenke' 'guozhangwang' 'gwenshap'
 'junrao' 'apovzner' 'Ishiihara' 'dajac']"
2474|['ijuma' 'ewencp' 'guozhangwang' 'junrao' 'gwenshap']|"['ijuma' 'ewencp' 'guozhangwang' 'junrao' 'gwenshap' 'hachikuji'
 'granthenke' 'apovzner' 'dajac' 'Ishiihara']"
2475|['ijuma' 'junrao' 'gwenshap' 'hachikuji' 'granthenke']|"['ijuma' 'junrao' 'gwenshap' 'hachikuji' 'granthenke' 'guozhangwang'
 'apovzner' 'ewencp' 'dajac' 'SinghAsDev']"
2476|['ijuma' 'junrao' 'hachikuji' 'gwenshap' 'guozhangwang']|"['ijuma' 'junrao' 'hachikuji' 'gwenshap' 'guozhangwang' 'granthenke'
 'apovzner' 'ewencp' 'dajac' 'SinghAsDev']"
2477|['ewencp' 'guozhangwang' 'ijuma' 'ymatsuda' 'miguno']|"['ewencp' 'guozhangwang' 'ijuma' 'ymatsuda' 'miguno' 'gwenshap' 'nan'
 'junrao' 'nan' 'nan']"
